customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST091,Female,No,No,Yes,63,Yes,No internet service,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,56.279960595501,3802.2415865539892,Yes
CUST092,Male,No,No,No,42,Yes,Yes,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,81.21187598491932,3518.3332705946827,Yes
CUST093,Male,No,Yes,Yes,51,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Two year,Yes,Electronic check,70.20837213542191,3666.337080414385,No
CUST094,Male,No,No,No,64,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,90.41010762068791,6016.215945211856,No
CUST095,Male,No,Yes,No,56,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,43.57555427008897,2478.371554961946,No
CUST096,Female,No,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer,44.140619333124675,1933.8030539795602,Yes
CUST097,Male,No,Yes,Yes,32,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,91.3873755164592,2944.768584506807,No
CUST098,Female,No,Yes,Yes,15,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,35.135140264989836,627.9253726559328,Yes
CUST099,Female,No,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Electronic check,66.39605591673455,4255.94829969356,Yes
CUST100,Female,No,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card,64.10594368516429,1857.931847193524,No
CUST101,Female,No,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,80.68523139004851,2077.7482440531694,Yes
CUST102,Male,Yes,Yes,Yes,64,Yes,No internet service,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,67.79756447546023,4289.386010102951,Yes
CUST103,Female,No,Yes,No,59,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,No,Mailed check,62.359206270355216,3819.809430401079,Yes
CUST104,Female,No,Yes,Yes,58,Yes,No,Fiber optic,No,No,No,No,No internet service,No,One year,No,Electronic check,57.38920543897897,3388.3502626575955,No
CUST105,Male,No,No,Yes,2,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer,45.10387812780428,84.27627143071064,No
CUST106,Female,Yes,No,Yes,36,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,Two year,No,Bank transfer,61.67804473965796,2281.3276224537735,Yes
CUST107,Female,No,Yes,Yes,71,Yes,No internet service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card,88.30198826130382,6136.997794134057,Yes
CUST108,Male,No,No,No,13,Yes,No,DSL,No,No,No,No,Yes,No internet service,One year,No,Electronic check,59.281337105330486,865.034804644592,Yes
CUST109,Female,No,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,93.12520358348472,1441.4531402263926,No
CUST110,Female,No,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,79.62008490133712,4787.435091235369,No
CUST111,Female,No,No,No,22,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,74.5315879309453,1618.2255134263655,No
CUST112,Female,Yes,Yes,Yes,63,No,No internet service,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,61.76353543648045,3918.829698886106,No
CUST113,Male,No,No,Yes,25,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,Yes,Two year,No,Electronic check,52.431818720756524,1277.882691185997,No
CUST114,Male,No,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,98.63176751849929,4695.45897198224,No
CUST115,Male,No,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.87168235338288,3692.146320509552,Yes
CUST116,Male,No,Yes,No,38,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,62.21239207480441,2173.6875816036504,Yes
CUST117,Male,No,No,No,41,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,98.98230037741496,3870.358059912394,Yes
CUST118,Female,No,No,No,45,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card,77.5807596791634,3584.9163638879977,Yes
CUST119,Male,No,Yes,No,40,No,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card,36.59005428363548,1317.2338985862575,Yes
CUST120,Male,No,Yes,No,17,Yes,No,DSL,No internet service,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,56.469551038198134,719.5587173199091,Yes
CUST121,Male,No,Yes,No,57,No,No internet service,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer,79.54214747031091,4655.614444364111,No
CUST122,Male,No,No,Yes,2,Yes,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,95.1513490761397,341.5110256927005,Yes
CUST123,Female,Yes,No,Yes,62,Yes,No,DSL,No,No,No,No internet service,Yes,No,One year,Yes,Bank transfer,112.22602045575715,6801.048974973647,No
CUST124,Female,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Two year,Yes,Electronic check,65.51135637589182,374.16282061687934,No
CUST125,Female,Yes,Yes,No,68,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,No,Two year,No,Bank transfer,77.32487619397087,5111.8384332073165,No
CUST126,Female,No,No,Yes,17,No,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer,52.76838859306809,813.0734766700695,No
CUST127,Male,No,No,No,50,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,47.25202582218377,2592.270832674027,No
CUST128,Male,No,Yes,No,40,Yes,Yes,No,Yes,Yes,No internet service,No,No,Yes,Two year,No,Mailed check,31.28352727574785,1199.7714406753723,No
CUST129,Female,No,No,No,58,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,72.79996774947712,4322.221053903305,No
CUST130,Female,No,Yes,No,21,No,No internet service,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer,90.29016562454294,1982.7055488187402,Yes
CUST131,Female,No,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card,80.51762188162488,1608.0077357217087,Yes
CUST132,Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,66.74272171099616,3595.7320038011626,Yes
CUST133,Female,No,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.47221475973527,2593.470932690454,Yes
CUST134,Female,Yes,No,No,24,Yes,No internet service,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,120.0,2853.696093507055,Yes
CUST135,Male,Yes,Yes,No,17,Yes,No internet service,No,No,No,No,No,No,No,Two year,Yes,Electronic check,48.36615421360065,886.7840995194712,Yes
CUST136,Female,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,18.0,469.90607391097046,Yes
CUST137,Female,No,Yes,Yes,42,Yes,No,No,Yes,Yes,No,No,No,No internet service,One year,No,Electronic check,71.84798699991698,3279.025398961058,No
CUST138,Male,No,No,Yes,45,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card,86.65020785524487,3852.3839163540183,No
CUST139,Female,No,Yes,Yes,17,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,34.053286270688396,595.8715477578618,Yes
CUST140,Male,No,Yes,No,14,Yes,No internet service,Fiber optic,Yes,No internet service,No,No,No,No,Two year,Yes,Mailed check,81.65497777170039,1247.1758482289517,Yes
CUST141,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,No,No internet service,No internet service,No,No,Two year,No,Bank transfer,58.25786054922996,2928.0473877460972,No
CUST142,Female,No,Yes,Yes,29,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card,71.73686045833075,2286.179536731495,No
CUST143,Female,Yes,Yes,Yes,4,No,No,DSL,No,No,No internet service,Yes,Yes,Yes,Two year,Yes,Credit card,46.61960417862116,173.53509324332188,No
CUST144,Female,No,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,45.389073457673945,860.0889200878399,Yes
CUST145,Female,No,No,No,47,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card,42.90738015163023,2181.8023964641566,No
CUST146,Female,No,Yes,No,9,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,78.35017844963477,741.5176568811308,Yes
CUST147,Male,No,No,Yes,27,Yes,No,No,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer,52.513560468034036,1482.694997927024,Yes
CUST148,Female,No,No,No,15,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No,Two year,Yes,Bank transfer,70.3949787498384,1047.2027508630617,No
CUST149,Female,Yes,No,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,65.59017182536124,1357.4649621488,Yes
CUST150,Female,No,No,Yes,52,Yes,No,DSL,No internet service,Yes,No,No,Yes,No internet service,One year,No,Mailed check,41.397167910764,2048.843500643634,Yes
CUST151,Male,Yes,No,Yes,26,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,66.52166501629725,1674.5704205759557,Yes
CUST152,Female,No,No,Yes,26,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card,69.74009931757327,1495.454121695312,Yes
CUST153,Female,No,Yes,No,26,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,86.25263347357989,2167.25986866231,No
CUST154,Female,No,Yes,Yes,46,Yes,No internet service,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,94.88673241788973,4476.579245983322,Yes
CUST155,Male,No,No,No,49,Yes,No internet service,DSL,No,No,No,No,No,No,Two year,No,Electronic check,44.610443366846525,2191.4816853236543,No
CUST156,Female,Yes,Yes,No,53,Yes,No internet service,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,72.09653659041278,3710.2462323594855,Yes
CUST157,Male,Yes,Yes,No,3,Yes,No,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Credit card,20.65382189057607,233.49723076091473,Yes
CUST158,Male,No,No,No,66,Yes,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,82.024667410417,5430.24931904965,No
CUST159,Female,No,No,No,42,Yes,No,DSL,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card,86.9460257790518,3854.983157625946,No
CUST160,Male,No,Yes,Yes,19,Yes,No internet service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,18.0,444.8025347182335,No
CUST161,Female,Yes,Yes,No,17,Yes,No internet service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.2157376186009,1012.2517901269533,No
CUST162,Male,No,Yes,Yes,33,Yes,No internet service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,47.058093990366444,1773.1176963134353,No
CUST163,Male,No,No,No,49,Yes,No,No,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,58.16439250157031,2805.095845076075,Yes
CUST164,Male,No,No,No,56,Yes,No internet service,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,54.201408662214675,2903.8920388027705,No
CUST165,Female,No,No,No,63,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,64.12747058348513,4231.952751257244,Yes
CUST166,Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No internet service,No,One year,Yes,Mailed check,84.74641423251354,326.7828794391323,No
CUST167,Female,No,No,No,49,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,58.725163302035284,3044.789283936921,Yes
